data_base,ocupacao,carteira_ativa,carteira_inadimplida_arrastada,inadimplencia
2012-06-01,PF - Aposentado/pensionista,3792468702.9,68216649.2,0.017987399381262276
2012-06-01,PF - Autônomo,16494547644.1,268407750.49,0.016272513577297636
2012-06-01,PF - Empregado de empresa privada,51462782862.450005,558234607.47,0.01084734591524233
2012-06-01,PF - Empregado de entidades sem fins lucrativos,333763004.27,2538170.7399999998,0.007604709651842444
2012-06-01,PF - Empresário,29584965124.42,451808847.3,0.015271569373156648
2012-06-01,PF - Outros,72748719793.43001,1157494893.19,0.015910862713140614
2012-06-01,PF - Servidor ou empregado público,36545192529.8,304858459.12,0.00834195794348079
2012-07-01,PF - Aposentado/pensionista,3810838349.76,46625774.63,0.012235043932770438
2012-07-01,PF - Autônomo,16974453665.28,258787812.42,0.015245722632554087
2012-07-01,PF - Empregado de empresa privada,52571658527.91,540339543.18,0.01027815287381768
2012-07-01,PF - Empregado de entidades sem fins lucrativos,343662910.02,3011216.03,0.008762121084945586
2012-07-01,PF - Empresário,30340612917.68,444790500.2,0.014659904907221332
2012-07-01,PF - Outros,75482752437.77,1152089936.3,0.015262956093841618
2012-07-01,PF - Servidor ou empregado público,37408575801.33,276081724.2,0.007380172013663892
2012-08-01,PF - Aposentado/pensionista,3876020850.33,48110754.65,0.012412408629304433
2012-08-01,PF - Autônomo,17522529472.6,258570421.49,0.014756455219226592
2012-08-01,PF - Empregado de empresa privada,53958947287.53,551771907.83,0.010225772287398117
2012-08-01,PF - Empregado de entidades sem fins lucrativos,352455771.71,3625000.21,0.01028497899867744
2012-08-01,PF - Empresário,31269744464.45,447512234.94,0.014311349280412843
2012-08-01,PF - Outros,78629900545.74,1238203504.62,0.015747234779976877
2012-08-01,PF - Servidor ou empregado público,38422730113.63,271585835.44,0.007068363821020053
2012-09-01,PF - Aposentado/pensionista,3843371070.35,48405377.76,0.012594510619447401
2012-09-01,PF - Autônomo,17745024194.14,284859428.04,0.01605291854908094
2012-09-01,PF - Empregado de empresa privada,54340786760.44,586176961.55,0.010787053270578257
2012-09-01,PF - Empregado de entidades sem fins lucrativos,354279528.54,3713226.9,0.010481065375982505
2012-09-01,PF - Empresário,31726752949.35,499894961.78,0.015756259790532443
2012-09-01,PF - Outros,80576143180.03,1311436263.18,0.016275738840588073
2012-09-01,PF - Servidor ou empregado público,38491287856.67,287960658.73,0.007481190543747953
2012-10-01,PF - Aposentado/pensionista,3876931921.95,46974602.56,0.012116437302920953
2012-10-01,PF - Autônomo,18198578488.29,283592428.63,0.015583218700981479
2012-10-01,PF - Empregado de empresa privada,55527999783.49,589854478.57,0.010622649489805323
2012-10-01,PF - Empregado de entidades sem fins lucrativos,366442267.28,4212486.25,0.011495634172520886
2012-10-01,PF - Empresário,32550914257.29,501755433.95,0.015414480526845062
2012-10-01,PF - Outros,83373430324.73,1296946020.55,0.015555867324860488
2012-10-01,PF - Servidor ou empregado público,39345391317.71,293487299.56,0.007459254813101747
