data_base,renda,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,inadimplencia,ticket
2012-06-01,alta,188809349048.75,2333938098.64,2913768,0.012361348155685787,64799.03309005727
2012-06-01,baixa,13543856027.2,334173680.77,122692,0.024673451940044406,110389.07204381704
2012-06-01,media,8609234585.42,143447598.1,94802,0.016662061728801403,90812.79493491698
2012-07-01,alta,84523972426.32,764382868.67,568720,0.009043385523986305,148621.41726389085
2012-07-01,baixa,56089159626.48,931597008.91,1468160,0.016609216738383576,38203.71051280515
2012-07-01,media,76319422556.95,1025746629.38,1133990,0.013440178070196769,67301.67158171588
2012-08-01,alta,87900124789.34,767598075.09,582221,0.008732616443146275,150973.81370534556
2012-08-01,baixa,55331439170.36,967931440.26,1466881,0.017493335701604204,37720.4689203555
2012-08-01,media,80800764546.29,1083850143.83,1173589,0.013413860003874994,68849.28586267424
2012-09-01,alta,89705042302.55,871356753.79,584891,0.009713576086962397,153370.52938504782
2012-09-01,baixa,56738675185.1,1008312748.59,1480089,0.017771171873515835,38334.63743403268
2012-09-01,media,80633928051.87,1142777375.56,1163417,0.014172413562996422,69307.84753177063
2012-10-01,alta,87809114849.91,856360629.41,557102,0.009752525473850368,157617.66220532326
2012-10-01,baixa,63067969746.44,1042126168.52,1571707,0.01652385787444545,40127.05278174622
2012-10-01,media,82362603764.39,1118335952.14,1140453,0.013578200554940686,72219.20040930227
2012-11-01,alta,88041043266.3,898758190.61,548140,0.010208400051456717,160617.80433155765
2012-11-01,baixa,65980005066.74,1080967081.64,1595446,0.016383252479998778,41355.21043441144
2012-11-01,media,84805170472.31,1169330881.55,1157250,0.013788438547291192,73281.6335902441
2012-12-01,alta,89447543540.07,886017187.91,551623,0.009905439018714796,162153.3974110398
2012-12-01,baixa,69297596797.39,1037489748.71,1625445,0.014971511230661835,42633.00006914414
2012-12-01,media,86923751531.75,1105979846.86,1168275,0.012723563207646725,74403.50219918255
2013-01-01,alta,89509452848.28,879940614.32,547138,0.00983070040447587,163595.75253095196
2013-01-01,baixa,72542860412.6,1053167317.47,1656028,0.014517863115404185,43805.33445847534
