data_base,porte,carteira_ativa,carteira_inadimplida_arrastada,ticket
2012-06-01,PF - Acima de 20 salários mínimos            ,177427000188.06,2215820027.9700003,78640.02477394373
2012-06-01,PF - Até 1 salário mínimo                    ,1980721982.8,31587567.4,73567.65951260515
2012-06-01,PF - Indisponível                            ,811586437.28,82818520.46,66182.18344640224
2012-06-01,PF - Mais de 1 a 2 salários mínimos          ,1212655111.7,27349766.98,58335.563963602144
2012-06-01,PF - Mais de 10 a 20 salários mínimos        ,11382348860.69,118118070.67,100711.54646622129
2012-06-01,PF - Mais de 2 a 3 salários mínimos          ,728759453.26,20181982.22,48220.36926965139
2012-06-01,PF - Mais de 3 a 5 salários mínimos          ,2055488969.03,48959978.95,57545.452969696584
2012-06-01,PF - Mais de 5 a 10 salários mínimos         ,6553745616.39,94487619.14999999,72212.90299980932
2012-06-01,PF - Sem rendimento                          ,8810133042.16,172235843.71,78606.19474221868
2012-07-01,PF - Acima de 20 salários mínimos            ,41523565156.18,335689894.45,116919.57254931059
2012-07-01,PF - Até 1 salário mínimo                    ,9583103534.35,110351367.66,50055.94020938078
2012-07-01,PF - Indisponível                            ,755732277.43,43838962.51,64984.7374299894
2012-07-01,PF - Mais de 1 a 2 salários mínimos          ,16562062568.529999,290445496.06,37828.99817935329
2012-07-01,PF - Mais de 10 a 20 salários mínimos        ,43000407270.14,428692974.22,85091.87924593281
2012-07-01,PF - Mais de 2 a 3 salários mínimos          ,28009019056.34,441015567.23,38162.89957546858
2012-07-01,PF - Mais de 3 a 5 salários mínimos          ,34855415381.88,492706474.91,49047.30200656269
2012-07-01,PF - Mais de 5 a 10 salários mínimos         ,41464007175.07,533040154.46999997,61609.91851824465
2012-07-01,PF - Sem rendimento                          ,1179242189.83,45945615.45,67685.61079498412
2012-08-01,PF - Acima de 20 salários mínimos            ,43356481031.4,324946205.6,98603.54590924669
2012-08-01,PF - Até 1 salário mínimo                    ,5731021129.54,109451667.99,42957.0221447857
2012-08-01,PF - Indisponível                            ,774501182.47,44996600.42,63902.711948658776
2012-08-01,PF - Mais de 1 a 2 salários mínimos          ,17968917608.06,295837547.09,37738.88653599216
2012-08-01,PF - Mais de 10 a 20 salários mínimos        ,44543643757.94,442651869.49,76935.66692335573
2012-08-01,PF - Mais de 2 a 3 salários mínimos          ,29649081174.78,470531947.44,38405.525548272584
2012-08-01,PF - Mais de 3 a 5 salários mínimos          ,37092187378.6,538618607.23,48048.40974287156
2012-08-01,PF - Mais de 5 a 10 salários mínimos         ,43708577167.69,545231536.6,55724.05010874822
2012-08-01,PF - Sem rendimento                          ,1207918075.51,47113677.32,64457.73392039386
2012-09-01,PF - Acima de 20 salários mínimos            ,44516542040.15,364234512.87,99023.31833303985
2012-09-01,PF - Até 1 salário mínimo                    ,5908094528.27,109811481.11,41837.0395531189
2012-09-01,PF - Indisponível                            ,763791048.71,40930726.21,63559.430667503584
2012-09-01,PF - Mais de 1 a 2 salários mínimos          ,18716684126.11,317934556.0,38194.16102780912
2012-09-01,PF - Mais de 10 a 20 salários mínimos        ,45188500262.4,507122240.92,75420.21474275443
2012-09-01,PF - Mais de 2 a 3 salários mínimos          ,30251017054.100002,505630779.08,39194.097808724764
2012-09-01,PF - Mais de 3 a 5 salários mínimos          ,37355546811.14,553337967.89,47880.71970040666
2012-09-01,PF - Mais de 5 a 10 salários mínimos         ,43278381240.729996,589439407.67,55541.60298754683
2012-09-01,PF - Sem rendimento                          ,1099088427.91,34005206.19,67237.87492865605
2012-10-01,PF - Acima de 20 salários mínimos            ,42163990904.07,348368897.68,101079.31942948379
2012-10-01,PF - Até 1 salário mínimo                    ,7705289194.06,120124439.56,46257.77457062264
2012-10-01,PF - Indisponível                            ,746052193.42,38560578.12,63331.2980411012
2012-10-01,PF - Mais de 1 a 2 salários mínimos          ,21325922462.61,342303993.84000003,39128.72108900166
2012-10-01,PF - Mais de 10 a 20 salários mínimos        ,45645123945.840004,507991731.73,75934.55943205586
2012-10-01,PF - Mais de 2 a 3 salários mínimos          ,32224957459.44,509576208.64,40723.75085077798
2012-10-01,PF - Mais de 3 a 5 salários mínimos          ,37972215805.82,538270964.4399999,49108.99752710012
2012-10-01,PF - Mais de 5 a 10 salários mínimos         ,44390387958.57,580064987.7,56077.694986075556
2012-10-01,PF - Sem rendimento                          ,1065748436.91,31560948.36,66043.90270695472
2012-11-01,PF - Acima de 20 salários mínimos            ,41074250870.74,363129236.1,103012.76322013988
2012-11-01,PF - Até 1 salário mínimo                    ,8547785203.63,127132379.33,47312.615129338556
2012-11-01,PF - Indisponível                            ,736561833.3199999,37625288.05,63238.60233223217
2012-11-01,PF - Mais de 1 a 2 salários mínimos          ,22419532645.89,352983064.85,40286.63643004103
2012-11-01,PF - Mais de 10 a 20 salários mínimos        ,46966792395.56,535628954.51,76247.97806427954
2012-11-01,PF - Mais de 2 a 3 salários mínimos          ,33203362986.05,527721245.21,41980.997843845755
2012-11-01,PF - Mais de 3 a 5 salários mínimos          ,39035676996.659996,565321873.92,49672.46255717941
2012-11-01,PF - Mais de 5 a 10 salários mínimos         ,45769493475.65,604009007.63,56472.04229758025
2012-11-01,PF - Sem rendimento                          ,1072762397.85,35505104.2,71247.44571430174
2012-12-01,PF - Acima de 20 salários mínimos            ,41576584879.09,368638169.04,106604.04015528226
2012-12-01,PF - Até 1 salário mínimo                    ,9542951657.66,142620391.9,48795.040066951944
2012-12-01,PF - Indisponível                            ,724530794.65,39344306.03,63098.917352353295
2012-12-01,PF - Mais de 1 a 2 salários mínimos          ,23634680812.65,331340451.58,41823.161822459006
2012-12-01,PF - Mais de 10 a 20 salários mínimos        ,47870958660.98,517379018.87,78026.73628377904
2012-12-01,PF - Mais de 2 a 3 salários mínimos          ,34277672356.64,495096297.03,43782.44535642402
2012-12-01,PF - Mais de 3 a 5 salários mínimos          ,40033258953.39,541901773.08,51650.76286475827
2012-12-01,PF - Mais de 5 a 10 salários mínimos         ,46890492578.36,564078073.78,57768.56358763194
2012-12-01,PF - Sem rendimento                          ,1117761175.79,29088302.17,64978.968407102315
2013-01-01,PF - Acima de 20 salários mínimos            ,41072108254.71,364369386.8,115162.90389649695
