data_base,carteira_ativa,carteira_inadimplida_arrastada,inadimplencia,ano
2012-06-01,210962439661.37,2811559377.51,0.013327298366586124,2012
2012-07-01,216932554609.75,2721726506.96,0.012546417995474398,2012
2012-08-01,224032328505.99,2819379659.18,0.012584700065306055,2012
2012-09-01,227077645539.52,3022446877.94,0.013310191193672482,2012
2012-10-01,233239688360.74,3016822750.07,0.012934431405190499,2012
2012-11-01,238826218805.35,3149056153.8,0.013185554624413195,2012
2012-12-01,245668891869.21,3029486783.48,0.012331584843443866,2012
2013-01-01,251145344727.61,3064097234.18,0.012200493851491823,2013
2013-02-01,256116975164.38,3541118767.11,0.013826177530158839,2013
2013-03-01,263048851093.23,4012019540.92,0.015251994160955512,2013
2013-04-01,270307703158.4,4079678703.06,0.015092720834038951,2013
2013-05-01,279312226225.59,4333355045.6,0.015514376524642754,2013
2013-06-01,287797602802.21,3947777675.93,0.013717201385597103,2013
2013-07-01,295933440151.33,4021416869.11,0.013588923465538697,2013
2013-08-01,303923679219.52,4175977398.14,0.013740217310029822,2013
2013-09-01,308791206748.71,4667921122.33,0.015116755336005048,2013
2013-10-01,311732100119.4,4931375941.62,0.015819275396185307,2013
2013-11-01,319432884904.97003,4925943500.26,0.015420902897099803,2013
2013-12-01,326786438717.51,4428923753.64,0.013552960676769626,2013
2014-01-01,332974032231.91,4759063971.03,0.014292597951648686,2014
2014-02-01,339769518642.64,5231440682.6,0.015397027677760234,2014
2014-03-01,345867377228.3,5347832086.78,0.015462088762566367,2014
2014-04-01,352655946043.45,6073335843.26,0.017221702657784527,2014
2014-05-01,361127317538.67,6001757126.23,0.01661950463104283,2014
2014-06-01,368976190149.61,5458253446.07,0.014792969280366908,2014
2014-07-01,377221996271.72003,5748256619.6,0.015238391918851476,2014
2014-08-01,387818654544.52,5923531971.22,0.015273973806590065,2014
2014-09-01,393692900073.68,5779853289.93,0.014681121475262305,2014
2014-10-01,402930698978.95,6711361179.82,0.016656365962749876,2014
2014-11-01,411192187541.03,6547752863.22,0.015923826039536914,2014
2014-12-01,419861859476.75,5524102250.32,0.013156951806016328,2014
2015-01-01,427342676035.97,6509743946.93,0.015233077134524394,2015
2015-02-01,432299236560.44,7152393315.2699995,0.01654500565899107,2015
2015-03-01,440016731944.45,6879650379.4800005,0.0156349744908076,2015
2015-04-01,448025223049.69,7556532261.38,0.016866309914301218,2015
2015-05-01,453453197140.93,7922992932.190001,0.017472570448604844,2015
2015-06-01,458953453925.0,7127836964.81,0.01553063149182618,2015
2015-07-01,464843839399.43,7542237821.36,0.01622531521791154,2015
2015-08-01,470070233474.96,7689984464.86,0.016359224467400006,2015
2015-09-01,474466638375.95,7718031442.3,0.01626675263980207,2015
2015-10-01,479084721014.4,9080779860.74,0.018954434283591056,2015
2015-11-01,482868705437.93,9444276812.95,0.0195586848072597,2015
